time,use_house_overall,generated_solar,dishwasher,homeoffice,fridge,winecellar,garagedoor,barn,well,microwave,livingroom,temperature,humidity,visibility,pressure,windspeed,cloudcover,windbearing,precipprobability,furnace,kitchen,year,month,day,weekofyear,hour,minute,wd_Friday,wd_Monday,wd_Saturday,wd_Sunday,wd_Thursday,wd_Tuesday,wd_Wednesday,time_Afternoon,time_Evening,time_Morning,time_Night,hour_sin,hour_cos
2016-09-05 21:00:00,1.4188122221666668,0.1012066666666666,0.38939500005,0.0407599999833333,0.0593452777499999,0.1599986111,0.0122033333333333,0.3051738888833333,0.20197527775,0.0039230555,0.0954400000333333,62.711666666666666,0.5303333333333333,9.982666666666669,1026.4033333333332,7.927333333333333,0.084,26.533333333333335,0.0,0.0890538889166666,0.0003636153722222,2016.0,9.0,5.0,36.0,21,29.5,False,True,False,False,False,False,False,False,True,False,False,-0.7071067811865477,0.7071067811865474
2016-09-05 22:00:00,3.284243888866667,0.0165147222166666,0.09636167215,0.040745,0.1317122222499999,0.0917899999333333,0.0123511111,0.2901674999833333,0.0554744444666666,0.0039913888666666,0.0963119444666666,64.92733333333334,0.4753333333333333,10.0,1026.175,4.707,0.1285,26.916666666666668,0.0,0.1689780555333333,0.0002681550333333,2016.0,9.0,5.0,36.0,22,29.5,False,True,False,False,False,False,False,False,False,False,True,-0.5000000000000004,0.8660254037844384
2016-09-05 23:00:00,0.7512763888999999,0.0028663894833333,5.008333333333333e-06,0.04229527775,0.0646597222,0.1190930554666666,0.0126608333333333,0.0362749999666666,0.00104361125,0.0644955556166666,0.02781666665,66.70333333333333,0.4333333333333333,10.0,1025.746666666667,5.046666666666667,0.1333333333333333,9.0,0.0,0.0930316667333333,0.0002597258944444,2016.0,9.0,5.0,36.0,23,29.5,False,True,False,False,False,False,False,False,False,False,True,-0.25881904510252157,0.9659258262890681
2016-09-06 00:00:00,0.9727219444166668,0.0034830556,5.0099999999999995e-06,0.1008430555333333,0.13847416665,0.09535749995,0.0127002778166666,0.0527399999666666,0.0010488888166666,0.0040288889666666,0.0018536112333333,68.46816666666668,0.4056666666666667,10.0,1025.1313333333333,4.8919999999999995,0.1228333333333333,221.73333333333332,0.0,0.08536194435,0.0002350988833333,2016.0,9.0,6.0,36.0,0,29.5,False,False,False,False,False,True,False,False,False,False,True,0.0,1.0
2016-09-06 01:00:00,1.2095249999833333,0.00340583335,2.5016666666666667e-05,0.4873936111,0.1177033334,0.1024658333333333,0.0129894444833333,0.0319908333166666,0.0010302777166666,0.00407666665,0.0017405555666666,69.71966666666665,0.377,10.0,1024.4056666666668,5.109333333333334,0.1199999999999999,306.7,0.0,0.0849730554833333,0.0372195415055555,2016.0,9.0,6.0,36.0,1,29.5,False,False,False,False,False,True,False,False,False,False,True,0.25881904510252074,0.9659258262890683
2016-09-06 02:00:00,0.8798369444166667,0.00335472225,1.1685e-05,0.3188041666833333,0.089355,0.10007250005,0.0130655554833333,0.0321466666833333,0.0010336111333333,0.0041402776666666,0.0016411110999999,70.7195,0.3536666666666666,10.0,1023.8071666666668,4.003333333333333,0.0791666666666666,99.38333333333334,0.0,0.0848602777,0.0002860246444444,2016.0,9.0,6.0,36.0,2,29.5,False,False,False,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387
2016-09-06 03:00:00,0.5820830555833333,0.0033588889,2.783333333333333e-06,0.1049538888833333,0.0934172223,0.0663822222,0.0129777777166666,0.0321844444166666,0.0426202779666666,0.0041336111,0.0016683333499999,70.5,0.35,10.0,1023.6493333333332,3.250666666666667,0.07,307.8,0.0,0.0843455556333333,0.0002349115055555,2016.0,9.0,6.0,36.0,3,29.5,False,False,False,False,False,True,False,False,False,False,True,0.7071067811865475,0.7071067811865476
2016-09-06 04:00:00,0.5560772223,0.0031741666333333,3.618333333333333e-06,0.1051597222333333,0.1146202778,0.0689730555666666,0.0130252777833333,0.0318544444,0.0009547222166666,0.0040111110333333,0.0016175000166666,69.5875,0.3591666666666667,10.0,1023.805,2.6575,0.0516666666666666,55.5,0.0,0.0846500000333333,0.0002253740833333,2016.0,9.0,6.0,36.0,4,29.5,False,False,False,False,False,True,False,False,False,True,False,0.8660254037844386,0.5000000000000001
2016-09-06 05:00:00,0.5199702777666667,0.0029533333333333,3.0616666666666664e-06,0.1052394444166666,0.0627830555,0.0829941666666666,0.01303138895,0.0318372223166666,0.0009994444333333,0.00398944445,0.0016950000166666,63.34616666666667,0.5078333333333334,10.0,1024.3218333333332,1.7301666666666666,0.0403333333333333,159.25,0.0,0.0844136111,0.0002501909111111,2016.0,9.0,6.0,36.0,5,29.5,False,False,False,False,False,True,False,False,False,True,False,0.9659258262890683,0.25881904510252074
2016-09-06 06:00:00,0.5008925000000001,0.0029336110999999,2.783333333333333e-06,0.1052127777666666,0.0781208333,0.05956222225,0.0130558332833333,0.0318697222499999,0.0009988888666666,0.0040016667,0.0016811111333333,56.88133333333334,0.6846666666666668,10.0,1024.9066666666663,0.5306666666666667,0.0373333333333333,206.13333333333333,0.0,0.08458,0.0002421352,2016.0,9.0,6.0,36.0,6,29.5,False,False,False,False,False,True,False,False,False,True,False,1.0,6.123233995736766e-17
