time,use_house_overall,generated_solar,dishwasher,homeoffice,fridge,winecellar,garagedoor,barn,well,microwave,livingroom,temperature,humidity,visibility,pressure,windspeed,cloudcover,windbearing,precipprobability,furnace,kitchen,year,month,day,weekofyear,hour,minute,weekday,timing
2016-08-20 13:00:00,0.14983194444999998,0.24895972221666665,5.566666666666666e-06,0.05735972228333333,0.05816194445,0.02056138895,0.01275888885,0.028245277766666667,0.0009341666833333333,0.003899722166666667,0.0013883333166666667,69.17416666666666,0.8491666666666666,9.569166666666666,1018.5850000000002,5.519166666666666,0.20500000000000002,204.33333333333334,0.0,0.08631611106666666,0.00023824595555555555,2016.0,8.0,20.0,33.0,13,29.5,Saturday,Afternoon
2016-08-20 14:00:00,0.27454805556666667,0.33302222216666666,4.453333333333333e-06,0.04067777781666667,0.0715658333,0.0804052778,0.012735555566666666,0.1604944444,0.0009788888666666666,0.0039300001,0.00146361105,69.12799999999999,0.8591666666666666,9.603333333333332,1019.0098333333333,3.8618333333333337,0.12333333333333332,228.05,0.0,0.08684222213333334,0.0002249172388888889,2016.0,8.0,20.0,33.0,14,29.5,Saturday,Afternoon
2016-08-20 15:00:00,0.09273555556666667,0.36843694444999997,6.953333333333333e-06,0.040669166699999995,0.03127944445,0.03658305555,0.01276972225,0.0715477778,0.0008794444166666666,0.0038458333166666667,0.0013983333333333335,70.842,0.8253333333333333,9.943999999999999,1019.2819999999999,2.5406666666666666,0.15666666666666668,222.93333333333334,0.0,0.10789166673333334,0.00025139537222222224,2016.0,8.0,20.0,33.0,15,29.5,Saturday,Afternoon
2016-08-20 16:00:00,0.1956627778,0.38611444440000003,4.453333333333333e-06,0.04136111115,0.09381861108333332,0.09662305555,0.012905277766666667,0.045816111033333336,0.0009372222833333334,0.003981388916666667,0.04255388883333333,73.93016666666668,0.746,10.0,1019.1524999999999,5.393166666666667,0.10766666666666666,267.85,0.0,0.08871638891666667,0.0009049128,2016.0,8.0,20.0,33.0,16,29.5,Saturday,Afternoon
2016-08-20 17:00:00,0.21224944441666665,0.38628249998333336,9.73e-06,0.042383333233333334,0.008994166666666666,0.06854499991666667,0.012925000016666667,0.029359166716666666,0.05320944441666666,0.0659688889,0.0364705555,78.52833333333334,0.6233333333333333,10.0,1018.9933333333333,12.051666666666668,0.11,299.0,0.0,0.11617361113333334,0.006705652572222222,2016.0,8.0,20.0,33.0,17,29.5,Saturday,Evening
2016-08-20 18:00:00,2.6151880556,0.3591269444333333,6.584006666666667e-05,0.06860583333333332,0.10150055553333333,0.05312805558333333,0.014004444466666667,0.047031944400000004,0.0009966666,0.003979444383333333,0.0014869444833333332,81.42099999999999,0.5226666666666667,10.0,1018.8123333333333,12.1895,0.20566666666666666,313.55,0.0,0.3574822223,0.00019185837222222222,2016.0,8.0,20.0,33.0,18,29.5,Saturday,Evening
2016-08-20 19:00:00,5.747773055583334,0.3124005556,0.00010249896666666667,0.27579499994999995,0.02144055556666667,0.07712666663333333,0.015410277816666667,0.028522499983333335,0.0009974999666666666,0.0038927778333333334,0.00146333335,82.99133333333333,0.44666666666666666,10.0,1018.5813333333333,13.077333333333334,0.18466666666666667,327.6,0.0,0.6554216666,0.0002007438888888889,2016.0,8.0,20.0,33.0,19,29.5,Saturday,Evening
2016-08-20 20:00:00,5.9382119444666674,0.20875083336666667,9.889129999999999e-05,0.41284861116666666,0.08131166661666667,0.01693,0.015397499966666667,0.0286202778,0.0010011110666666666,0.0038827777666666664,0.0014797222833333333,84.07649999999998,0.40049999999999997,10.0,1018.4168333333332,12.8635,0.18266666666666667,324.8,0.0,0.6803169445166667,0.00012879761111111112,2016.0,8.0,20.0,33.0,20,29.5,Saturday,Evening
2016-08-20 21:00:00,2.9029400000166663,0.12530944441666667,6.667283333333333e-05,0.15844222221666668,0.047353888883333334,0.06465138890000001,0.02113361106666667,0.04091583326666667,0.05528611108333334,0.003949166683333333,0.0015077778166666667,84.57133333333333,0.3763333333333333,10.0,1018.3549999999999,13.060333333333334,0.22466666666666668,329.7,0.0,0.38202527775,0.0002197259111111111,2016.0,8.0,20.0,33.0,21,29.5,Saturday,Evening
2016-08-20 22:00:00,0.6217508333,0.03467166665,1.5281666666666666e-05,0.0543975,0.07084611116666667,0.14868305561666664,0.021881111083333335,0.029172222216666665,0.045993055500000005,0.0039022222166666667,0.0013808332999999998,84.3325,0.37,10.0,1018.2766666666666,12.465,0.25,330.25,0.0,0.12413416666666667,0.0002488962888888889,2016.0,8.0,20.0,33.0,22,29.5,Saturday,Night
2016-08-20 23:00:00,0.42057333335,0.0029822216666666665,5.0099999999999995e-06,0.04219111105,0.0580108334,0.0534486111,0.013006666733333333,0.030281111149999998,0.0008216666333333333,0.00386861115,0.0013911111166666666,83.59400000000001,0.37466666666666665,10.0,1018.384,11.417333333333335,0.2033333333333333,346.0,0.0,0.08686916656666667,0.00025584257222222224,2016.0,8.0,20.0,33.0,23,29.5,Saturday,Night
2016-08-21 00:00:00,0.4563594444666667,0.00346777775,2.783333333333333e-06,0.04304722221666667,0.04165,0.10914833336666667,0.012813888899999999,0.03210444441666667,0.0010150001,0.004028333366666667,0.00164333325,82.133,0.39033333333333337,10.0,1018.6608333333334,10.504666666666667,0.09316666666666666,351.4166666666667,0.0,0.08419444441666667,0.0002628768333333333,2016.0,8.0,21.0,33.0,0,29.5,Sunday,Night
2016-08-21 01:00:00,0.6645700000166667,0.003458333283333333,6.678333333333333e-06,0.16080305555000002,0.08931083333333333,0.05831583331666667,0.020870555483333334,0.0350588889,0.0010241667333333335,0.0040572222166666665,0.0016897222500000001,79.50833333333334,0.42833333333333334,10.0,1019.1020000000001,8.977666666666668,0.04566666666666667,353.53333333333336,0.0,0.08457833338333334,0.01644157757222222,2016.0,8.0,21.0,33.0,1,29.5,Sunday,Night
